#	startTime:1560566366968
#	SiteID:5cd56b6ae2acfd2d33b59ccb	SiteName:七宝万科广场	FloorId:5cd56b6be2acfd2d33b59d6e	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560566366969	TYPE_WAYPOINT	107.48422	120.17882
1560566367093	TYPE_ACCELEROMETER	-0.4785614	1.0600281	9.223145
1560566367093	TYPE_MAGNETIC_FIELD	-18.539999	-31.439999	-14.219999
1560566367093	TYPE_GYROSCOPE	3.0708008	-5.1612396	-1.6439056
1560566367093	TYPE_ROTATION_VECTOR	0.03589142	-0.05348613	-0.95865375
1560566367093	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.259995	-55.62	-62.4
1560566367093	TYPE_GYROSCOPE_UNCALIBRATED	4.1697845	-6.839905	-2.1826477
1560566367093	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47976685	0.9499512	9.428925
1560566367112	TYPE_ACCELEROMETER	-0.5395813	0.81954956	9.625137
1560566367112	TYPE_MAGNETIC_FIELD	-18.72	-31.859999	-14.099999
1560566367112	TYPE_GYROSCOPE	-0.22149658	-0.120025635	-0.035324097
1560566367112	TYPE_ROTATION_VECTOR	0.037859254	-0.04168209	-0.9601211
1560566367112	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.079994	-56.04	-62.28
1560566367112	TYPE_GYROSCOPE_UNCALIBRATED	0.8811798	-1.803894	-0.5759125
1560566367112	TYPE_ACCELEROMETER_UNCALIBRATED	-0.722641	0.6915283	9.793823
1560566367131	TYPE_ACCELEROMETER	-0.8410797	0.64009094	9.907486
1560566367131	TYPE_MAGNETIC_FIELD	-18.84	-32.1	-14.099999
1560566367131	TYPE_GYROSCOPE	-0.2193451	-0.12705994	-0.029205322
1560566367131	TYPE_ROTATION_VECTOR	0.045002718	-0.020358602	-0.95716316
1560566367131	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.959995	-56.28	-62.28
1560566367131	TYPE_GYROSCOPE_UNCALIBRATED	-0.2214508	-0.11392212	-0.03604126
1560566367131	TYPE_ACCELEROMETER_UNCALIBRATED	-0.77049255	0.6747894	9.957733
1560566367150	TYPE_ACCELEROMETER	-0.6723938	0.75852966	9.996017
1560566367150	TYPE_MAGNETIC_FIELD	-19.02	-32.34	-13.92
1560566367150	TYPE_GYROSCOPE	-0.19216919	-0.15789795	-0.02432251
1560566367150	TYPE_ROTATION_VECTOR	0.04631479	-0.023106085	-0.9569801
1560566367150	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.779995	-56.52	-62.1
1560566367150	TYPE_GYROSCOPE_UNCALIBRATED	-0.20648193	-0.15240479	-0.026885986
1560566367150	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6424713	0.8626251	10.055847
1560566367170	TYPE_ACCELEROMETER	-0.6472626	0.9415741	10.085754
1560566367170	TYPE_MAGNETIC_FIELD	-19.02	-32.64	-13.92
1560566367170	TYPE_GYROSCOPE	-0.11917114	-0.08918762	-0.0365448
1560566367170	TYPE_ROTATION_VECTOR	0.041930676	-0.030377928	-0.96095276
1560566367170	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.779995	-56.82	-62.1
1560566367170	TYPE_GYROSCOPE_UNCALIBRATED	-0.15974426	-0.13194275	-0.034210205
1560566367170	TYPE_ACCELEROMETER_UNCALIBRATED	-0.75613403	1.0169525	10.04866
1560566367189	TYPE_ACCELEROMETER	-0.91526794	1.1413727	10.031921
1560566367189	TYPE_MAGNETIC_FIELD	-19.14	-32.76	-13.799999
1560566367189	TYPE_GYROSCOPE	-0.035476685	0.0030670166	-0.013015747
1560566367189	TYPE_ROTATION_VECTOR	0.04913288	-0.03766366	-0.95987266
1560566367189	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.659996	-56.94	-61.98
1560566367189	TYPE_GYROSCOPE_UNCALIBRATED	-0.07147217	-0.04550171	-0.036972046
1560566367189	TYPE_ACCELEROMETER_UNCALIBRATED	-0.75613403	1.0169525	10.04866
1560566367208	TYPE_ACCELEROMETER	-0.80400085	1.2873383	9.860825
1560566367208	TYPE_MAGNETIC_FIELD	-19.14	-32.94	-13.86
1560566367208	TYPE_GYROSCOPE	0.027740479	0.087677	0.07371521
1560566367208	TYPE_ROTATION_VECTOR	0.04907412	-0.037327934	-0.959918
1560566367208	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.659996	-57.12	-62.04
1560566367208	TYPE_GYROSCOPE_UNCALIBRATED	0.0045776367	0.055603027	0.025039673
1560566367208	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5395813	1.3304138	9.726837
1560566367227	TYPE_ACCELEROMETER	-0.31585693	1.3663025	9.598816
1560566367227	TYPE_MAGNETIC_FIELD	-19.38	-33.0	-14.16
1560566367227	TYPE_GYROSCOPE	0.01399231	0.031158447	0.10395813
1560566367227	TYPE_ROTATION_VECTOR	0.04992102	-0.03738608	-0.95967525
1560566367227	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.42	-57.18	-62.34
1560566367227	TYPE_GYROSCOPE_UNCALIBRATED	0.034194946	0.076675415	0.097732544
1560566367227	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5395813	1.3304138	9.726837
1560566367247	TYPE_ACCELEROMETER	0.06581116	1.2658081	9.799805
1560566367247	TYPE_MAGNETIC_FIELD	-19.32	-33.059998	-14.219999
