#	startTime:1560566696875
#	SiteID:5cd56b6ae2acfd2d33b59ccb	SiteName:七宝万科广场	FloorId:5cd56b6be2acfd2d33b59d6e	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560566696876	TYPE_WAYPOINT	99.96519	126.53091
1560566696992	TYPE_ACCELEROMETER	-0.04307556	1.2107697	9.360733
1560566696992	TYPE_MAGNETIC_FIELD	38.82	-1.3199999	-12.24
1560566696992	TYPE_GYROSCOPE	-0.12086487	-0.011291504	0.009124756
1560566696992	TYPE_ROTATION_VECTOR	0.046642017	0.05865061	0.69307524
1560566696992	TYPE_MAGNETIC_FIELD_UNCALIBRATED	105.6	-30.0	-60.72
1560566696992	TYPE_GYROSCOPE_UNCALIBRATED	0.01953125	0.023223877	0.028701782
1560566696992	TYPE_ACCELEROMETER_UNCALIBRATED	0.052642822	1.0983124	9.583252
1560566697011	TYPE_ACCELEROMETER	0.04547119	1.0660095	9.773483
1560566697011	TYPE_MAGNETIC_FIELD	38.879997	-1.3199999	-12.599999
1560566697011	TYPE_GYROSCOPE	-0.5220337	-0.12582397	-0.068618774
1560566697011	TYPE_ROTATION_VECTOR	0.041693144	0.03786368	0.7025415
1560566697011	TYPE_MAGNETIC_FIELD_UNCALIBRATED	105.659996	-30.0	-61.079998
1560566697011	TYPE_GYROSCOPE_UNCALIBRATED	-0.51924133	-0.12582397	-0.0717926
1560566697011	TYPE_ACCELEROMETER_UNCALIBRATED	-0.09213257	1.1389923	9.900314
1560566697030	TYPE_ACCELEROMETER	-0.30747986	1.3076782	9.86322
1560566697030	TYPE_MAGNETIC_FIELD	38.879997	-1.02	-12.96
1560566697030	TYPE_GYROSCOPE	-0.43896484	-0.12582397	-0.08937073
1560566697030	TYPE_ROTATION_VECTOR	0.03791152	0.041613225	0.6828752
1560566697030	TYPE_MAGNETIC_FIELD_UNCALIBRATED	105.659996	-29.7	-61.44
1560566697030	TYPE_GYROSCOPE_UNCALIBRATED	-0.51924133	-0.12582397	-0.0717926
1560566697030	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3792572	1.483551	9.67778
1560566697049	TYPE_ACCELEROMETER	-0.23570251	1.5984039	9.492325
1560566697049	TYPE_MAGNETIC_FIELD	38.879997	-0.96	-13.32
1560566697049	TYPE_GYROSCOPE	-0.3635254	-0.074523926	-0.06585693
1560566697049	TYPE_ROTATION_VECTOR	0.041824725	0.065928906	0.68867356
1560566697049	TYPE_MAGNETIC_FIELD_UNCALIBRATED	105.659996	-29.64	-61.8
1560566697049	TYPE_GYROSCOPE_UNCALIBRATED	-0.4361725	-0.12582397	-0.092544556
1560566697049	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06820679	1.6594238	9.381058
1560566697069	TYPE_ACCELEROMETER	-0.037094116	1.6642151	9.354736
1560566697069	TYPE_MAGNETIC_FIELD	38.94	-0.9	-13.74
1560566697069	TYPE_GYROSCOPE	-0.35435486	-0.068099976	-0.06463623
1560566697069	TYPE_ROTATION_VECTOR	0.060224753	0.06268788	0.6878047
1560566697069	TYPE_MAGNETIC_FIELD_UNCALIBRATED	105.72	-29.58	-62.22
1560566697069	TYPE_GYROSCOPE_UNCALIBRATED	-0.36073303	-0.074523926	-0.06903076
1560566697069	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15553284	1.6342926	9.373886
1560566697088	TYPE_ACCELEROMETER	-0.25723267	1.581665	9.427719
1560566697088	TYPE_MAGNETIC_FIELD	38.94	-0.84	-14.04
1560566697088	TYPE_GYROSCOPE	-0.34825134	-0.108428955	-0.05303955
1560566697088	TYPE_ROTATION_VECTOR	0.055136826	0.06315	0.68784183
1560566697088	TYPE_MAGNETIC_FIELD_UNCALIBRATED	105.72	-29.52	-62.52
1560566697088	TYPE_GYROSCOPE_UNCALIBRATED	-0.34545898	-0.108428955	-0.05621338
1560566697088	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24407959	1.5158539	9.442078
1560566697107	TYPE_ACCELEROMETER	-0.16271973	1.4763794	9.335602
1560566697107	TYPE_MAGNETIC_FIELD	39.18	-0.42	-14.219999
1560566697107	TYPE_GYROSCOPE	-0.2923584	-0.12948608	-0.0029449463
1560566697107	TYPE_ROTATION_VECTOR	0.05319636	0.06027621	0.68756264
1560566697107	TYPE_MAGNETIC_FIELD_UNCALIBRATED	105.96	-29.1	-62.699997
1560566697107	TYPE_GYROSCOPE_UNCALIBRATED	-0.34545898	-0.108428955	-0.05621338
1560566697107	TYPE_ACCELEROMETER_UNCALIBRATED	-0.12322998	1.4321136	9.193222
1560566697126	TYPE_ACCELEROMETER	-0.16151428	1.3938141	9.059235
1560566697126	TYPE_MAGNETIC_FIELD	39.239998	-0.29999998	-14.16
1560566697126	TYPE_GYROSCOPE	-0.23829651	-0.122161865	0.03982544
1560566697126	TYPE_ROTATION_VECTOR	0.05176152	0.05727138	0.6874749
1560566697126	TYPE_MAGNETIC_FIELD_UNCALIBRATED	106.02	-28.98	-62.64
1560566697126	TYPE_GYROSCOPE_UNCALIBRATED	-0.28956604	-0.12948608	-0.0061187744
1560566697126	TYPE_ACCELEROMETER_UNCALIBRATED	-0.12322998	1.4321136	9.193222
1560566697146	TYPE_ACCELEROMETER	-0.23210144	1.3914337	8.736206
1560566697146	TYPE_MAGNETIC_FIELD	39.42	-0.24	-14.099999
1560566697146	TYPE_GYROSCOPE	-0.21629333	-0.14048767	0.06669617
1560566697146	TYPE_ROTATION_VECTOR	0.0507704	0.05470572	0.68769944
1560566697146	TYPE_MAGNETIC_FIELD_UNCALIBRATED	106.2	-28.92	-62.579998
1560566697146	TYPE_GYROSCOPE_UNCALIBRATED	-0.23550415	-0.122161865	0.03665161
1560566697146	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30029297	1.3734894	8.642883
1560566697165	TYPE_ACCELEROMETER	-0.28234863	1.3507538	8.584259
1560566697165	TYPE_MAGNETIC_FIELD	39.3	0.06	-14.04
1560566697165	TYPE_GYROSCOPE	-0.24256897	-0.1472168	0.093566895
1560566697165	TYPE_ROTATION_VECTOR	0.050131906	0.05227312	0.6881249
1560566697165	TYPE_MAGNETIC_FIELD_UNCALIBRATED	106.2	-28.92	-62.579998
1560566697165	TYPE_GYROSCOPE_UNCALIBRATED	-0.21350098	-0.14048767	0.06352234
1560566697165	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30029297	1.3734894	8.642883
1560566697184	TYPE_ACCELEROMETER	-0.058624268	1.2658081	8.761322
1560566697184	TYPE_MAGNETIC_FIELD	39.3	0.06	-14.04
1560566697184	TYPE_GYROSCOPE	-0.3085327	-0.10873413	0.105789185
1560566697184	TYPE_ROTATION_VECTOR	0.050131906	0.05227312	0.6881249
1560566697184	TYPE_MAGNETIC_FIELD_UNCALIBRATED	106.08	-28.62	-62.52
1560566697184	TYPE_GYROSCOPE_UNCALIBRATED	-0.23977661	-0.1472168	0.09039307
1560566697184	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14955139	1.1784668	9.04129
1560566697203	TYPE_ACCELEROMETER	-0.26560974	1.1198425	9.381073
1560566697203	TYPE_MAGNETIC_FIELD	39.3	0.06	-14.04
1560566697203	TYPE_GYROSCOPE	-0.37878418	-0.0418396	0.10853577
1560566697203	TYPE_ROTATION_VECTOR	0.050131906	0.05227312	0.6881249
1560566697203	TYPE_MAGNETIC_FIELD_UNCALIBRATED	106.08	-28.62	-62.52
1560566697203	TYPE_GYROSCOPE_UNCALIBRATED	-0.30574036	-0.10873413	0.10261536
1560566697203	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22972107	1.0660095	9.722046
1560566697223	TYPE_ACCELEROMETER	-0.15075684	0.9798584	9.899109
1560566697223	TYPE_MAGNETIC_FIELD	39.48	-0.12	-13.92
1560566697223	TYPE_GYROSCOPE	-0.39987183	-0.02015686	0.13420105
1560566697223	TYPE_ROTATION_VECTOR	0.049207654	0.04840405	0.68908554
1560566697223	TYPE_MAGNETIC_FIELD_UNCALIBRATED	106.259995	-28.800001	-62.4
1560566697223	TYPE_GYROSCOPE_UNCALIBRATED	-0.37599182	-0.0418396	0.10536194
1560566697223	TYPE_ACCELEROMETER_UNCALIBRATED	-0.114868164	0.899704	10.013962
1560566697242	TYPE_ACCELEROMETER	-0.059829712	0.8674011	10.2017975
1560566697242	TYPE_MAGNETIC_FIELD	39.6	0.24	-14.04
1560566697242	TYPE_GYROSCOPE	-0.39711	0.10354614	0.16656494
1560566697242	TYPE_ROTATION_VECTOR	0.04430856	0.04122255	0.6913055
1560566697242	TYPE_MAGNETIC_FIELD_UNCALIBRATED	106.38	-28.44	-62.52
1560566697242	TYPE_GYROSCOPE_UNCALIBRATED	-0.39431763	0.10354614	0.16339111
1560566697242	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07896423	0.89730835	10.339386
1560566697261	TYPE_ACCELEROMETER	-0.14596558	0.91645813	10.600204
1560566697261	TYPE_MAGNETIC_FIELD	39.6	0.24	-14.04
1560566697261	TYPE_GYROSCOPE	-0.43681335	0.17837524	0.17329407
1560566697261	TYPE_ROTATION_VECTOR	0.04430856	0.04122255	0.6913055
1560566697261	TYPE_MAGNETIC_FIELD_UNCALIBRATED	106.38	-28.44	-62.52
1560566697261	TYPE_GYROSCOPE_UNCALIBRATED	-0.39431763	0.10354614	0.16339111
1560566697261	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32183838	0.879364	11.119446
1560566697280	TYPE_ACCELEROMETER	-0.59342957	0.80996704	11.911484
1560566697280	TYPE_MAGNETIC_FIELD	39.78	0.53999996	-14.04
1560566697280	TYPE_GYROSCOPE	-0.4921112	0.1725769	0.16595459
1560566697280	TYPE_ROTATION_VECTOR	0.037672963	0.03704817	0.6938991
1560566697280	TYPE_MAGNETIC_FIELD_UNCALIBRATED	106.56	-28.14	-62.52
1560566697280	TYPE_GYROSCOPE_UNCALIBRATED	-0.434021	0.17837524	0.17012024
1560566697280	TYPE_ACCELEROMETER_UNCALIBRATED	-0.71665955	0.65682983	13.018158
1560566697300	TYPE_ACCELEROMETER	-0.6843567	0.5084839	14.179871
1560566697300	TYPE_MAGNETIC_FIELD	39.84	0.78	-14.04
1560566697300	TYPE_GYROSCOPE	-0.40963745	0.145401	0.18307495
1560566697300	TYPE_ROTATION_VECTOR	0.033249382	0.035162564	0.69529617
1560566697300	TYPE_MAGNETIC_FIELD_UNCALIBRATED	106.619995	-27.9	-62.52
1560566697300	TYPE_GYROSCOPE_UNCALIBRATED	-0.48931885	0.1725769	0.16278076
1560566697300	TYPE_ACCELEROMETER_UNCALIBRATED	-0.58265686	0.52882385	15.030518
1560566697319	TYPE_ACCELEROMETER	-0.4355011	0.68196106	15.397812
1560566697319	TYPE_MAGNETIC_FIELD	39.899998	0.9	-14.099999
1560566697319	TYPE_GYROSCOPE	-0.13168335	0.23731995	0.184906
1560566697319	TYPE_ROTATION_VECTOR	0.029041348	0.032869793	0.69667834
1560566697319	TYPE_MAGNETIC_FIELD_UNCALIBRATED	106.67999	-27.78	-62.579998
1560566697319	TYPE_GYROSCOPE_UNCALIBRATED	-0.4068451	0.145401	0.17990112
1560566697319	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33380127	0.7872467	15.358337
1560566697338	TYPE_ACCELEROMETER	-0.37329102	0.72743225	15.157333
